序號,方言差編碼,詞目,鹿港,三峽,臺北,宜蘭,臺南,高雄,金門,馬公,新竹,臺中
289,[方1]0289,樹蔭,樹蔭　tshiǔ-ńg,樹蔭　tshiū-ńg,樹蔭　tshiū-ńg,"樹影　tshiū-iánn, 樹蔭　tshiū-ńg","樹影　tshiū-iánn, 樹蔭　tshiū-ńg",樹蔭　tshiū-ńg,樹蔭　tshiū-ńg,樹蔭　tshiū-ńg,"樹蔭　tshiū-ńg, 樹影　tshiū-iánn",樹蔭　tshiū-ńg 
290,[方1]0290,榕樹,榕　tsîng,榕樹　tsîng-tshiū,榕　tshîng,榕仔　siông-á; tshîng-á,榕仔　tshîng-á,榕仔　tshîng-á,樹影　tshiū-iánn,榕仔樹　tshîng-á-tshiū,榕樹　tsîng-tshiū,榕仔　tshîng-á
291,[方1]0291,桑樹,桑材樹　sng-tsâi-tshiǔ,娘仔樹　niû-á-tshiū,桑材仔　sng-tsâi-á,娘仔樹　niû-á-tshiū,鹽酸仔欉　iâm-sng-á-tsâng,桑材　sng-tsâi,桑材　sng-tsâi,桑椹　sng-suî,桑材　sng-tsâi,桑椹　sng-suî
292,[方1]0292,樟樹,樟仔　tsiunn-á,樟仔　tsiunn-á,樟仔　tsiunn-á,樟仔　tsiunn-á,樟仔　tsionn-á,樟仔　tsiunn-á,樟　tsiunn,樟　tsiunn,樟仔樹　tsiunn-á-tshiū,樟仔　tsiunn-á 
293,[方1]0293,竹子,竹　tik,竹　tik,竹　tik,竹　tik,竹　tik,竹仔　tik-á,竹　tik,竹　tik,竹仔　tik-á,竹仔　tik-á
294,[方1]0294,蓮蕉花,蓮蕉　liân-tsiau,蓮蕉花　liân-tsiau-hue; lân-tsiau-hue,蓮蕉花　liân-tsiau-hue; lân-tsiau-hue,蓮蕉　lân-tsiau,蓮蕉　liân-tsiau,蓮蕉　liân-tsiau,蓮蕉花　lân-tsiau-hue,蓮蕉　lân-tsiau,蓮蕉　liân-tsiau ,蓮蕉花　liân-tsio-hue 
295,[方1]0295,稗草,稗仔　phuě-á,稗仔　phuē-á,稗仔　phuē-á,稗仔　phē-á,"大窟草　tuā-khut-tsháu, 稗仔　phē-á",稗仔　phē-á,稗　phuē,稗　phuē,稗仔　phuē-á,稗仔草　phē-á-tsháu
296,[方1]0296,糙米,糙米　tshò-bí,糙米　tshò-bí,糙米　tshò-bí,糙米　tshò-bí,糙米　tshòr-bí,糙米　tshòr-bí,糙米　tshò-bí,糙米　tshò-bí,糙米　tshò-bí,糙米　tshò-bí
297,[方1]0297,薑母,薑母　kiunn-bú,薑母　kiunn-bó,薑母　kiunn-bó,薑母　kiunn-bó,薑母　kionn-bór,"老薑　lāu-kiunn, 薑母　kiunn-bór",薑母　kiunn-bú,薑母　kiunn-bú,薑母　kiunn-bú,薑母　kiunn-bó
298,[方1]0298,香菜,芫荽　ian-sui,芫荽　iân-sui,芫荽　iân-sui,芫荽　iân-suinn,芫荽　iân-sui,芫荽　iân-sui,芫荽　uan-sui,芫荽　uan-sui,芫荽　iân-sui,芫荽　iân-sui
299,[方1]0299,薤,蕗蕎　lōo-giǒ,蕗蕎　nōo-giō,蕗蕎　lōo-giō,蕗蕎　lōo-kiō,蕗蕎　lōo-giōr,蕗蕎　lōo-jiōr,蕗蕎　lā-giō,蕗蕎　lā-jiō,蕗蕎　lōo-giō,蕗蕎　lōo-kioh
300,[方1]0300,馬鈴薯,馬鈴薯　má-lîng-tsîr; bé-lîng-tsîr,馬鈴薯　má-lîng-tsîr,馬鈴薯　má-lîng-tsû,馬鈴薯　má-lîng-tsî,馬鈴薯　má-lîng-tsû,馬鈴薯　má-lîng-tsî,"蕳砃　kan-tan, 蕳砃薯　kan-tan-tsîr",馬鈴薯　má-lîng-tsû,馬鈴薯　má-lîng-tsîr,馬鈴薯　bé-lîng-tsî
301,[方1]0301,豆薯,暫無資料　,葛薯　kuah-tsîr,葛薯　kuah-tsû,葛薯　kuah-tsî,豆仔薯　tāu-á-tsû,豆仔薯　tāu-á-tsî,豆仔薯　tāu-á-tsîr,豆薯　tāu-tsû,豆薯　tāu-tsîr,豆仔薯　tāu-á-tsî
302,[方1]0302,稜角絲瓜,澎湖菜瓜　phînn-ôo-tshài-kue,澎湖菜瓜　phînn-ôo-tshài-kue,澎湖菜瓜　phînn-ôo-tshài-kue,澎湖菜瓜　phênn-ôo-tshài-kue,澎湖菜瓜　phênn-ôo-tshài-kue,澎湖菜瓜　phênn-ôo-tshài-kue,角瓜　kak-kue,割溝菜瓜　kuah-kau-tshài-kue,澎湖菜瓜　phînn-ôo-tshài-kue,澎湖菜瓜　phênn-ôo-tshài-kue
303,[方1]0303,豌豆,荷仁豆　hô-lîn-tāu,荷仁豆　hôo-lin-tāu,荷仁豆　hûn-lin-tāu,荷蘭豆　huê-liân-tāu,荷蘭豆　huê-liân-tāu,荷蘭豆　huê-liân-tāu,荷仁豆　hû-lin-tāu,荷仁豆　hû-jîn-tāu,荷仁豆　hoo-lin-tāu,荷蘭豆　hoo-lian-tāu
304,[方1]0304,水果,"水果　tsuí-kó, 果子　kér-tsí",水果　tsuí-kó,"水果　tsuí-kó, 果子　ké-tsí","水果　tsuí-kó, 果子　kué-tsí","水果　tsuí-kór, 果子　kué-tsí","水果　tsuí-kór, 果子　kué-tsí","水果　tsuí-kó, 果子　kér-tsí","水果　tsuí-kó, 果子　ké-tsí","水果　tsuí-kó, 果子　kér-tsí; ké-tsí ","水果　tsuí-kó, 果子　kué-tsí "
305,[方1]0305,荔枝,荔枝　nǎi-tsi,荔枝　nāi-tsi,荔枝　nāi-tsi; lāi-tsi,荔枝　lē-tsi,荔枝　lāi-tsi,荔枝　lāi-tsi,荔枝　nāi-tsi,荔枝　lāi-tsi,荔枝　nāi-tsi,荔枝　nāi-tsi
306,[方1]0306,蘋果,蘋果　phông-kó,瓜果　kua-kó,瓜果　kua-kó,"りんご　lin51-goo11, 蘋果　phông-kó","りんご　lin51-goo11, 蘋果　phông-kór","りんご　lin51-goo11, 蘋果　phōng-kór",蘋果　phîng-kó,"蘋果　phōng-kó, りんご　lin51-goo11",りんご　lin51-goo11 ,"りんご　lin51-goo11, 蘋果　phōng-kó"
307,[方1]0307,枇杷,枇杷　khî-pê,枇杷　khî-pê,枇杷　gî-pê,枇杷　gî-pê,枇杷　pî-pê; tî-pê,枇杷　tî-pê,枇杷　khî-pê,枇杷　pî-pê,枇杷　khî-pê,枇杷　gî-pê
308,[方1]0308,香蕉,"金蕉　kim-tsio, 弓蕉　kin-tsio; king-tsio",弓蕉　kin-tsio; kirn-tsio,"金蕉　kim-tsio, 弓蕉　king-tsio",弓蕉　kin-tsio,弓蕉　kin-tsior,弓蕉　kin-tsior,弓蕉　king-tsio,弓蕉　king-tsio,弓蕉　kin-tsio,弓蕉　kin-tsio
309,[方1]0309,桃子,桃仔　thô-á,桃仔　thô-á,桃仔　thô-á,桃仔　thô-á,桃仔　thôr-á,桃仔　thôr-á,"桃　thô, 桃仔　thô--á",桃　thô ,桃仔　thô-á,桃仔　thô-á
310,[方1]0310,葡萄,葡萄　phû-tô,葡萄　phû-tô,葡萄　phô-tô,葡萄　pô-tô,葡萄　phô-tôr; phuê-tôr,葡萄　phôr-tôr,葡萄　phû-tô,葡萄　phô-tô,葡萄　phû-tô,葡萄　phû-tô; pû-tô
311,[方1]0311,楊桃,楊桃　iûnn-tô,磟碡　la̍k-ta̍k,"楊桃　iûnn-thô; iûnn-tô, 磟碡　la̍k-ta̍k",楊桃　iûnn-tô,楊桃　iônn-tôr,楊桃　iûnn-tôr,楊桃　iûnn-tô,楊桃　iûnn-tô,楊桃　iûnn-tô,楊桃　iûnn-thô
312,[方1]0312,橄欖,橄欖　kan-ná,草橄欖　tshó-kan-ná,草橄欖　tshó-kan-ná,草橄欖　tshó-kan-ná,草橄欖　tshór-kan-ná,草橄欖　tshór-kan-ná,橄欖　kann-ná,橄欖　kann-ná,橄欖　kan-ná,橄欖　kan-ná
313,[方1]0313,棗子,棗仔　tsó-á,棗仔　tsó-á,棗仔　tsó-á,棗仔　tsó-á,棗仔　tsór-á,棗仔　tsór-á,棗仔　tsó--á,棗仔　tsó--á,棗仔　tsó-á,棗仔　tsó-á
314,[方1]0314,雞爪,雞跤爪　kue-kha-liáu,雞爪　kere-jiáu,雞爪仔　kue-niáu-á,雞跤爪　ke-kha-jiáu,雞跤爪　ke-kha-jiáu,雞跤爪　ke-kha-jiáu,雞跤扒　kue-kha-pê,雞跤爪　kue-kha-jiáu,雞跤爪　kue-kha-niáu,雞跤爪　ke-kha-giáu
315,[方1]0315,母鴨,鴨母　ah-bú,鴨母　ah-bú,"鴨母　ah-bó, 鴨婆仔　ah-pô-á",鴨母　ah-bú,番鴨母　huan-ah-bór,鴨母　ah-bór,鴨母　ah-bú,鴨母　ah-bó,鴨母　ah-bú,鴨母　ah-bó
316,[方1]0316,火雞,火雞　hér-kue,火雞　hér-kere,火雞　hé-kue,火雞　hué-ke,火雞　hué-ke,火雞　hué-ke,火雞　hér-kue,火雞　hé-kue,火雞　hér-kue; hé-kue,火雞　hué-ke
317,[方1]0317,青竹絲,青竹絲　tshinn-tik-si,青竹絲　tshinn-tik-si,青竹絲　tshinn-tik-si,青竹絲　tshenn-tik-si,青竹絲　tshenn-tik-si,青竹絲　tshenn-tik-si,青竹絲　tshinn-tik-si,青竹絲　tshinn-tik-si,青竹絲　tshinn-tik-si,青竹絲　tshenn-tik-si
318,[方1]0318,青蛙,"水雞　suí-kue, 田蛤仔　tshân-kap-á","水雞　tsuí-kere, 田蛤仔　tshân-kap-á, 肚蛙　tōo-kuê","大肚仔魚　tuā-tōo-á-hû, 水雞　suí-kue; tsuí-kue, 田蛤仔　tshân-kap-á, 杜蝛仔　tōo-ui-á","水雞　tsuí-ke, 蛤仔　kap-á","水雞　tsuí-ke, 四跤魚　sì-kha-hî, 田蛤仔　tshân-kap-á, 田僑　tshân-kiâu","水雞　suí-ke, 四跤仔　sì-kha-á, 田蛤仔　tshân-kap-á",水雞　suí-kue,水雞　suí-kue,水雞　tsuí-kue,水雞　tsuí-ke
319,[方1]0319,水蛭,蜈蜞　gôo-khî,蜈蜞　gôo-khî,"軟蜞　nńg-khî, 蜈蜞　môo-khî","蜈蜞　gôo-khî, 爛蜞　nuā-khî","蜈蜞　ngôo-khî, 噪血　sorh-hueh",蜈蜞　môo-khî,蜈蜞　ngôo-khî,柴蜞　tshâ-khî,蜈蜞　gôo-khî,蜈蜞　gôo-khî
320,[方1]0320,蜻蜓,田嬰　tshân-ni,田嬰　tshân-ni,田嬰　iân-mi,田嬰　tshân-enn,田嬰　tshân-enn,田嬰　tshân-enn,田嬰　tshân-ni,田嬰　tshân-inn,田嬰　tshân-ni,田嬰　tshân-ne
321,[方1]0321,蝨子,蝨母　sat-bú,蝨母　sat-bú,蝨母　sat-bó,蝨母　sat-bó,蝨母　sat-bór,蝨母　sat-bú,蝨母　sat-bú,蝨母　sat-bó,蝨母　sat-bú,蝨母　sat-bó
322,[方1]0322,雞蟲,雞𧉟　kue-tâi,雞𧉟　kere-tâi,雞𧉟　kue-tâi,"雞𧉟　ke-tâi, 雞母蟲　ke-bó-thâng",雞𧉟　ke-tâi,"雞𧉟　ke-tâi, 雞母蟲　ke-bór-thâng",雞𧉟　kue-tâi,雞𧉟　kue-tâi,雞𧉟　kue-tâi,雞𧉟　ke-tâi
323,[方1]0323,鱸魚,鱸魚　lôo-hîr,鱸魚　lôo-hîr,鱸魚　lôo-hû,鱸魚　lôo-hî,鱸魚　lôo-hî,鱸魚　lôo-hî,鱸魚　lôo-hîr,鱸魚　lôo-hû,鱸魚　lôo-hîr; lôo-hî,鱸魚　lôo-hî 
324,[方1]0324,草魚,草魚　tsháu-hîr,草魚　tsháu-hîr,草魚　tsháu-hû,草魚　tsháu-hî,草魚　tsháu-hî,草魚　tsháu-hî,草魚　tsháu-hîr,草魚　tsháu-hû,草魚　tsháu-hîr; tsháu-hî,草魚　tsháu-hî
325,[方1]0325,鱔魚,鱔魚　siǎn-hîr,鱔魚　siān-hîr,鱔魚　siān-hû,鱔魚　siān-hî,鱔魚　siān-hî,鱔魚　siān-hî,鱔魚　siān-hîr,鱔魚　siān-hû,鱔魚　siān-hîr; siān-hî,鱔魚　siān-hî
326,[方1]0326,溪哥,溪哥仔　khue-ko-á,溪鮊仔　khere-pha-á,溪哥仔　khue-ko-á,溪哥仔　khe-ko-á,溪哥仔　khe-kor-á,溪哥仔　khe-kor-á,暫無資料　,暫無資料　,溪哥仔　khue-ko-á,溪哥仔　khe-ko-á
327,[方1]0327,虱目魚,虱目魚　sat-ba̍k-hîr,虱目魚　sat-ba̍k-hîr,虱目魚　sat-ba̍k-hû,麻虱目仔　muâ-sat-ba̍k-á,虱目魚　sat-ba̍k-hî,虱目魚　sat-ba̍k-hî,虱目仔魚　sat-ba̍k-á-hîr,虱目　sat-ba̍k,麻虱目　muâ-sat-ba̍k,麻虱目仔　muâ-sat-ba̍k-á
328,[方1]0328,海豚,海豬仔　hái-tir-á,海豬仔　hái-tir-á,海豬仔　hái-tu-á,海豬仔　hái-ti-á,海豬仔　hái-ti-á,海豬　hái-ti,海豬　hái-tir,海鼠　hái-tshú,海豬　hái-tir; hái-ti,海豬　hái-ti
329,[方1]0329,寄居蟹,寄生　kiànn-sinn,寄生仔　kià-sinn-á,寄生　kià-sinn,漿寄生　tsiunn-kiànn-senn,"寄生仔　kià-senn-á, 螺仔鬼　lê-á-kuí","寄生仔　kiànn-senn-á, 哈螺　ha-lê",寄仔生　kiat-á-sinn,寄生　kiànn-sinn,寄生仔　kiànn-sinn-á,暫無資料　
330,[方1]0330,樹根,樹根　tshiǔ-kun,樹根　tshiū-kirn,樹根　tshiū-kun,樹根　tshiū-kin,樹根　tshiū-kin,樹根　tshiū-kin,樹根　tshiū-kun,樹根　tshiū-kun,樹根　tshiū-kun,樹根　tshiū-kin
331,[方1]0331,相思樹,相思欉　siu-si-tsâng,相思仔　siunn-si-á,相思仔　siunn-si-á,相思仔　siu-si-á,相思仔　sionn-si-á,相思仔　siu-si-á,相思　siunn-si,相思樹　siunn-si-tshiū,相思仔　siunn-si-á,相思仔　siunn-si-á
332,[方1]0332,苦楝,苦楝　khóo-lǐng,苦楝　khóo-līng,苦楝　khóo-līng,苦楝　khóo-līng,苦楝　khóo-līng,苦楝仔　khóo-līng-á,苦楝　khóo-līng,苦楝　khóo-līng,苦楝仔　khóo-līng-á,苦楝仔　khóo-līng-á
333,[方1]0333,浮萍,薸　phiô,薸　phiô,薸　phiô,水薸　tsuí-phiôr,薸　phiôr,水薸　tsuí-phiôr,薸　phiô,薸　phiô,薸　phiô,薸仔　phiô-á
334,[方1]0334,苔蘚,苔　thî,苔　thî,苔　thî,青苔　tshenn-thî,青苔　tshenn-thî,青苔　tshenn-thî,青苔　tshinn-thî,苔　thî,青苔　tshinn-thî,青苔　tshenn-tî
335,[方1]0335,九層塔,九層塔　káu-tsàn-thah,七層塔　tshit-tsàn-thah,九層塔　káu-tsàn-thah,九層塔　káu-tsàn-thah,九層塔　káu-tsàn-thah; káu-tsàn-tshah,九層塔　káu-tsàn-thah,九層塔　káu-tsàn-thah,九層塔　káu-tsàn-thah,九層塔　káu-tsàn-thah,九層塔　káu-tsàn-thah
336,[方1]0336,芋莖,芋莖　ǒo-huînn,芋莖　ōo-huînn,"芋莖　ōo-huâinn, 芋稈　ōo-kuáinn","芋莖　ōo-huâinn, 芋稈　ōo-kuáinn","芋莖　ōo-huâinn, 芋稈　ōo-kuáinn","芋莖　ōo-huâinn, 芋稈　ōo-kuáinn",芋莖　ōo-huâinn,芋梗　ōo-kuínn,芋莖　ōo-huâinn,芋莖　ōo-huâinn
337,[方1]0337,公鴨,鴨雄仔　ah-hîng-á,"鴨雄仔　ah-hîng-á, 鴨鵤　ah-kak","鴨雄仔　ah-hîng-á, 鴨鵤　ah-kak","正番公　tsiànn-huan-kang, 鴨雄仔　ah-hîng-á","番鴨鵤　huan-ah-kak, 鴨雄仔　ah-hîng-á","鴨雄仔　ah-hîng-á, 鴨鵤　ah-kak","鴨雄　ah-hîng, 鴨角　ah-kak","鴨雄　ah-hîng, 鴨角　ah-kak",鴨角仔　ah-kak-á,鴨角　ah-kak 
338,[方1]0338,蚯蚓,杜蚓　tǒo-lún,杜蚓　tōo-ún,"牛貫　gû-kǹg, 杜蚓仔　tōo-ún-á",杜蚓　tōo-kín,杜蚓仔　tōo-kún-á,杜蚓仔　tōo-kún-á,杜蚓　tōo-ún,塗蚓　thôo-ún,杜蚓　tōo-ún,杜蚓仔　tōo-ún-á
339,[方1]0339,臭蟲,木蝨　ba̍k-sat,木蝨　ba̍k-sat,木蝨　ba̍k-sat,木蝨　ba̍k-sat,木蝨　ba̍k-sat,木蝨　ba̍k-sat,蛀龜　tsiù-ku,蛀龜　tsiù-ku,木蝨　ba̍k-sat,木蝨　ba̍k-sat
340,[方1]0340,毛毛蟲,暫無資料　,蟲仔　thâng-á,"貧惰蟲　pîn-tuānn-thâng, 刺角仔蟲　tshì-kak-á-thâng, 雞母蟲　kue-bó-thâng",刺毛蟲　tshì-môo-thâng,刺毛狗蟲　tshì-mî-káu-thâng,刺毛蟲　tshì-môo-thâng,狗毛仔蟲　káu-mn̂g-á-thâng,狗毛仔蟲　káu-mn̂g-á-thâng,刺毛仔蟲　tshì-mî-á-thâng,刺羅仔蟲　tshì-lô-á-thâng
341,[方1]0341,鯉魚,"𩸙魚　tǎi-hîr, 鯉魚　lě-hîr",𩸙仔　tāi-á,𩸙魚　tāi-hû,"𩸙魚　tāi-hî, 鯉魚　lē-hî","𩸙仔魚　tāi-á-hî, 鯉魚　lē-hî","𩸙仔　tāi-á, 鯉魚　lē-hî",鯉魚　lí-hîr ,𩸙魚　tāi-hû,"鯉魚　lí-hî, 𩸙仔　tâi-á","烏𩸙仔　oo-tâi-á, 鯉魚　lē-hî"
342,[方1]0342,小鯰魚,"塗虱　thôo-sat, 鯰仔魚　liâm-á-hîr",塗虱　thôo-sat,塗虱　thôo-sat,塗虱　thôo-sat,塗虱　thôo-sat,塗虱　thôo-sat,塗虱　thôo-sat,塗虱　thôo-sat,塗虱　thôo-sat,塗虱　thôo-sat
343,[方1]0343,泥鰍,鰗鰡　hôo-liu,魚鰡　hîr-liu,魚鰡　hû-liu,鰗鰡　hôo-liu,鰗鰡　hôo-liu,鰗鰡　hôo-liu,魚鰡　hîr-liu,魚鰡　hû-liu,"鰗鰡　hôo-liu, 鱔鰡　siān-liu",鰗鰡　hôo-liu 
344,[方1]0344,番薯,番薯　han-tsîr,番薯　han-tsîr,番薯　han-tsû,番薯　han-tsî,番薯　han-tsû,番薯　han-tsî,番薯　an-tsîr,番薯　han-tsû,番薯　an-tsîr; han-tsî,番薯　han-tsî
345,[方1]0345,蕃石榴,林仔菝　nâ-á-pu̍t,菝仔　pa̍t-á,林仔菝　nâ-á-pu̍t,菝仔　pa̍t-á,"土菝仔　thóo-pa̍t-á, 林菝仔　niá-pua̍t-á",林菝仔　ná-pua̍t-á,林仔菝　nâi-á-pu̍t,林仔菝　nâi-á-pu̍t,菝仔　pa̍t-á,菝仔　pa̍t-á
346,[方1]0346,螢火蟲,火金蛄　hér-kim-koo,火金星　hér-kim-tshinn,火金蛄　hé-kim-koo,火金蛄　hué-kim-koo,火金星　hué-kim-tshenn,"火金星　hué-kim-tshenn, 火金蛄　hué-kim-koo","火金星　hér-kim-tshinn, 紅娘仔　âng-niû--á ",暫無資料　,火金蛄　hér-kim-koo; hé-kim-koo　,火金蛄　hué-kim-koo　
347,[方1]0347,牡蠣,蚵仔　ô-á,蚵　ô,蚵仔　ô-á,蚵仔　ô-á,蚵仔　ôr-á,蚵仔　ôr-á,蚵　ô,蚵　ô,蚵仔　ô-á,蚵仔　ô-á
348,[方1]0348,蚌,粉蟯　hún-giô,蟯桮　giô-pue,粉蟯　hún-giô,蟯仔　giô-á,粉蟯仔　hún-giôr-á,蟯桮　giôr-pue,蟯　giô,暫無資料　,"加蚌　ka-bāng, 粉蟯　hún-giô, 蚶仔　ham-á",田桮　tshân-pe
349,[方1]0349,飯,"飯　pňg, 糜　mai",飯　pn̄g,飯　pn̄g,飯　puīnn,飯　pn̄g,飯　pn̄g,飯　pn̄g,飯　pn̄g,飯　pn̄g,飯　pn̄g
350,[方1]0350,冷飯,凊飯　tshìn-pňg,"凊飯　tshìn-pn̄g, 賰飯　tshun-pn̄g",凊飯　tshìn-pn̄g,凊飯　tshìn-puīnn,凊飯　tshìn-pn̄g,凊飯　tshìn-pn̄g,凊飯　tshìn-pn̄g,凊飯　tshìn-pn̄g,凊飯　tshìn-pn̄g,凊飯　tshìn-pn̄g
351,[方1]0351,鍋巴,飯疕　pňg-phí,鼎疕　tiánn-phí,飯疕仔　pn̄g-phí-á,飯疕　puīnn-phí,飯疕　pn̄g-phí,飯疕　pn̄g-phí,飯疕　pn̄g-phí,鼎疕　tiánn-phí,"飯疕　pn̄g-phí, 鼎疕　tiánn-phí",鼎疕　tiánn-phí
352,[方1]0352,肥肉,肥肉　puî-bah,肥肉　puî-bah,肥肉　puî-bah,"白肉　pe̍h-bah, 肥肉　puî-bah",肥肉　puî-bah,肥肉　puî-bah,肥肉　puî-bah,白肉　pe̍h-bah,肥肉　puî-bah,肥肉　puî-bah
353,[方1]0353,五花肉,三層　sam-tsân,三層　sam-tsân,三層　sam-tsân,三層仔　sam-tsân-á,三層　sam-tsân,三層　sam-tsân,三層　sam-tsân　,三層　sam-tsân　,"三層　sam-tsân, 五花　gōo-hue",三層仔　sam-tsân-á
354,[方1]0354,瘦肉,"赤肉　tshiah-bah, 精肉　tsiann-bah, 瘦肉　sán-bah",赤肉　tshiah-bah,"赤肉　tshiah-bah, 精肉　tsiann-bah","奶肉　ling-bah, 赤肉　tshiah-bah, 精肉　tsiann-bah, 瘦肉　sán-bah","赤肉　tshiah-bah, 精肉　tsiann-bah","赤肉　tshiah-bah, 精肉　tsiann-bah","赤肉　tshiah-bah, 精肉　tsiann-bah","赤肉　tshiah-bah, 精肉　tsiann-bah","赤肉　tshiah-bah, 精肉　tsiann-bah, ロース　loo51-sir11","精肉　tsiann-bah, 瘦肉　sán-bah "
355,[方1]0355,雞蛋,卵　nňg,卵　nn̄g,卵　nn̄g,卵　nuī,卵　nn̄g,卵　nn̄g,雞卵　kue-nn̄g,雞卵　kue-nn̄g,雞卵　kue-nn̄g,雞卵　ke-nn̄g
356,[方1]0356,蛋白,卵清　nňg-tshing,卵清　nn̄g-tshing,卵清　nn̄g-tshing,卵清　nuī-tshing,卵清　nn̄g-tshing,卵清　nn̄g-tshing,卵清　nn̄g-tshing,卵清　nn̄g-tshing,卵清　nn̄g-tshing,卵清　nn̄g-tshing
357,[方1]0357,蛋黃,卵仁　nňg-lîn,卵仁　nn̄g-jîn,卵仁　nn̄g-lîn,卵仁　nuī-jîn,卵仁　nn̄g-jîn,卵仁　nn̄g-jîn,卵仁　nn̄g-lîn,卵仁　nn̄g-jîn,卵仁　nn̄g-lîn,卵仁　nn̄g-gîn
358,[方1]0358,冰糖,糖霜　thn̂g-sng,冰糖　pin-thn̂g,冰糖　pin-thn̂g,糖霜　thn̂g-sng,糖霜　thn̂g-sng,"冰糖　ping-thn̂g, 糖霜　thn̂g-sng",冰糖　ping-thn̂g,冰糖　ping-thn̂g,冰糖　ping-thn̂g,"冰糖　ping-thn̂g, 糖霜　thn̂g-sng"
359,[方1]0359,豆腐,豆腐　tāu-hǔ,豆腐　tāu-hū,豆腐　tāu-hū,豆腐　tāu-hū,豆腐　tāu-hū,豆腐　tāu-hū,豆腐　tāu-hū,豆腐　tāu-hū,豆腐　tāu-hū,豆腐　tāu-hū
360,[方1]0360,豆沙,豆沙　tāu-sie,豆沙　tāu-se,豆沙　tāu-se,豆沙　tāu-se,豆沙　tāu-se,豆沙　tāu-se,豆沙　tāu-se,豆沙　tāu-se,豆沙　tāu-se,豆沙　tāu-se
361,[方1]0361,豆豉,"豆豉　tāu-sī, 豆酺　tāu-pôo, 蔭豉　ìm-sī","豆酺　tāu-pôo, 蔭豉粕仔　ìm-sī-phoh-á","豆酺　tāu-pôo, 蔭豉仔　ìm-sīnn-á",蔭豉仔　ìm-sīnn-á,"豆酺　tāu-pôo, 蔭豉　ìm-sīnn","豆酺　tāu-pôo, 蔭豉仔　ìm-sīnn-á",豆豉　tāu-sī　 ,豆豉　tāu-sī　 ,豆豉　tāu-sīnn　 ,蔭豉仔　ìm-sīnn-á　 
362,[方1]0362,春捲,"潤餅　lǔn-piánn, 潤餅𩛩　lǔn-piánn-kauh",潤餅𩛩　jūn-piánn-kauh,潤餅𩛩　lūn-piánn-kauh,"春捲　tshun-kuínn, 潤餅𩛩　lūn-piánn-kauh",潤餅𩛩　jūn-piánn-kauh,潤餅𩛩　jūn-piánn-kauh,"拭餅　tshit-piánn, 拭餅𩛩　tshit-piánn-kauh",薄餅　po̍h-piánn ,"潤餅𩛩　lūn-piánn-kauh, 春餅　tshun-piánn, 雞捲　kue-kńg",潤餅𩛩　lūn-piánn-kauh
363,[方1]0363,粽子,"肉粽　bah-tsàng, 菜粽　tshài-tsàng",鹹粽　kiâm-tsàng,肉粽　bah-tsàng,肉粽　bah-tsàng,"肉粽　bah-tsàng, 菜粽　tshài-tsàng","肉粽　bah-tsàng, 菜粽　tshài-tsàng","肉粽　bah-tsàng, 菜粽　tshài-tsàng","肉粽　bah-tsàng, 菜粽　tshài-tsàng","粽　tsàng, 肉粽　bah-tsàng, 鹼粽　kinn-tsàng, 粿粽　kér-tsàng; ké-tsàng","粽　tsàng, 肉粽　bah-tsàng"
364,[方1]0364,茶葉,茶心　tê-sim,茶米　tê-bí,"茶心　tê-sim, 茶米　tê-bí","茶心　tê-sim, 茶米　tê-bí",茶心　tê-sim,"茶心　tê-sim, 茶葉　tê-hio̍rh",茶心　tê-sim,茶心　tê-sim,"茶米　tê-bí, 茶心　tê-sim",茶米　tê-bí
365,[方1]0365,開水,滾水　kún-tsuí,滾水　kún-tsuí,"白茶　pe̍h-tê, 滾水　kún-tsuí",滾水　kún-tsuí,滾水　kún-tsuí,滾水　kún-tsuí,滾水　kún-tsuí,滾水　kún-tsuí,滾水　kún-tsuí,滾水　kún-tsuí
366,[方1]0366,冰棒,枝仔冰　ki-á-ping,枝仔冰　ki-á-ping,枝仔冰　ki-á-ping,"枝仔冰　ki-á-ping, 霜仔　sng-á",冰枝　ping-ki,枝仔冰　ki-á-ping,霜枝　sng-ki,枝仔冰　ki-á-ping,枝仔冰　ki-á-ping,枝仔冰　ki-á-ping
367,[方1]0367,蜜餞,鹹酸甜　kiâm-sng-tinn,"蜜餞　bi̍t-tsian, 鹹酸甜　kiâm-sng-tinn",鹹酸甜　kiâm-sng-tinn,鹹酸甜　kiâm-suinn-tinn,鹹酸甜　kiâm-sng-tinn,鹹酸甜　kiâm-sng-tinn,鹹酸甜　kiâm-sng-tinn,鹹酸甜　kiâm-sng-tinn,鹹酸甜　kiâm-sng-tinn,鹹酸甜　kiâm-sng-tinn
368,[方1]0368,吃素,食菜　tsia̍h-tshài,食菜　tsiā-tshài,食菜　tsia̍h-tshài,"食素　tsiā-sòo, 食菜　tsiā-tshài","食素　tsia̍h-sòo, 食菜　tsia̍h-tshài",食菜　tsia̍h-tshài,食菜　tsia̍h-tshài,食菜　tsia̍h-tshài,"食菜　tsia̍h-tshài, 食素　tsia̍h-sòo",食菜　tsia̍h-tshài
